description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
item -> added mod 4	1	1		100	16	361	730		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1	1		100	16	361	760		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		62	62	corruptnum	100		1001	1001	curse-effectiveness	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		20	25																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		6	8																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1	1		100	16	361	963		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1	1		100	16	361	982		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
Generate Uniques (for testing)	0																																																																																																							0
rand weapon	0			100					1	imma,qty=1							weap,uni	99		100																																																																																				0
rand armor	0			100					1	key,qty=1							tors,uni	99		100																																																																																				0
rand helm	0			100					1	imra,qty=1							helm,uni	99		100																																																																																				0
rand boot	0			100					1	rera,qty=1							boot,uni	99		100																																																																																				0
rand belt	0			100					1	scou,qty=1							belt,uni	99		100																																																																																				0
rand shield	0			100					1	upma,qty=1							shld,uni	99		100																																																																																				0
rand gloves	0			100					1	vps							glov,uni	99		100																																																																																				0
rand ring	0			100					1	wss,qty=1							rin,uni	99		100																										rin,uni	99		100																										rin,uni	99		100																										0
phys charm	0			100					1	isc,qty=1							cm3,mag	95		100	dmg-max	100		6	9	att		30	60																	cm3,mag	95		100	dmg-max	100		6	9	att		30	60																	cm3,mag	95		100	dmg-max	100		6	9	att		30	60																	0
skills charm	0			100					1	key,qty=1							cm1,mag	95		100	allskills	100		1	1																					cm1,mag	95		100	allskills	100		1	1																					cm1,mag	95		100	allskills	100		1	1																					0
exp charm	0			100	18	361	0		2	cm2,mag	wss,qty=1						useitem	95		100	corrupt	100		1	1	corruptnum	100		1001	1001	addxp	100		10	10																																																																					0
frw charm	0			100	18	361	0		2	cm3,mag	wss,qty=1						useitem	95		100	corrupt	100		1	1	corruptnum	100		1001	1001	move2	100		107	107																																																																					0
Lightsong - Eth weap	1			100					2	weap,noe	lsvl						useitem	95		100	ethereal	100		1	1																																																																															0
Lightsong - Eth armor	1			100					2	armo,noe	lsvl						useitem	95		100	ethereal	100		1	1																																																																															0
Lillith's Mirror weap (magic)	1			100					2	weap,mag	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror armo (magic)	1			100					2	armo,mag	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror ring (magic)	1			100					2	ring,mag	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror amul (magic)	1			100					2	amul,mag	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror jewl (magic)	0			100					2	jew,mag	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror weap (rare)	1			100					2	weap,rar	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror armo (rare)	1			100					2	armo,rar	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror ring (rare)	1			100					2	ring,rar	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror amul (rare)	1			100					2	amul,rar	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror jewl (rare)	0			100					2	jew,rar	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror weap (craft)	1			100					2	weap,crf	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror armo (craft)	1			100					2	armo,crf	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror ring (craft)	1			100					2	ring,crf	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror amul (craft)	1			100					2	amul,crf	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
Lillith's Mirror jewl (craft)	0			100					2	jew,crf	llmr						useitem	99		100	dye	100		4	4	mirrored	100		1	1																useitem	99		100	dye	100		21	21	mirrored	100		1	1																																													0
rathma ingredients	1			100					3	rtmv,qty=1	Hellfire Torch	rtmo,qty=1					rtma																																																																																							0
fragment -> jawbone	1			100					2	rtmf,qty=2	Hellfire Torch						rtmo																																																																																							0
Jewel -> Jewel Fragments x15	1			100					2	key,qty=1	jew,qty=15						useitem			100																										jewf,qty=15			100																																																							0
Jewel -> Jewel Fragments x14	1			100					2	key,qty=1	jew,qty=14						useitem			100																										jewf,qty=14			100																																																							0
Jewel -> Jewel Fragments x13	1			100					2	key,qty=1	jew,qty=13						useitem			100																										jewf,qty=13			100																																																							0
Jewel -> Jewel Fragments x12	1			100					2	key,qty=1	jew,qty=12						useitem			100																										jewf,qty=12			100																																																							0
Jewel -> Jewel Fragments x11	1			100					2	key,qty=1	jew,qty=11						useitem			100																										jewf,qty=11			100																																																							0
Jewel -> Jewel Fragments x10	1			100					2	key,qty=1	jew,qty=10						useitem			100																										jewf,qty=10			100																																																							0
Jewel -> Jewel Fragments x9	1			100					2	key,qty=1	jew,qty=9						useitem			100																										jewf,qty=9			100																																																							0
Jewel -> Jewel Fragments x8	1			100					2	key,qty=1	jew,qty=8						useitem			100																										jewf,qty=8			100																																																							0
Jewel -> Jewel Fragments x7	1			100					2	key,qty=1	jew,qty=7						useitem			100																										jewf,qty=7			100																																																							0
Jewel -> Jewel Fragments x6	1			100					2	key,qty=1	jew,qty=6						useitem			100																										jewf,qty=6			100																																																							0
Jewel -> Jewel Fragments x5	1			100					2	key,qty=1	jew,qty=5						useitem			100																										jewf,qty=5			100																																																							0
Jewel -> Jewel Fragments x4	1			100					2	key,qty=1	jew,qty=4						useitem			100																										jewf,qty=4			100																																																							0
Jewel -> Jewel Fragments x3	1			100					2	key,qty=1	jew,qty=3						useitem			100																										jewf,qty=3			100																																																							0
Jewel -> Jewel Fragments x2	1			100					2	key,qty=1	jew,qty=2						useitem			100																										jewf,qty=2			100																																																							0
Jewel -> Jewel Fragments	1			100					2	key,qty=1	jew						useitem			100																										jewf			100																																																							0
1 Wirt's leg + 1 rathma tp book -> portal to cow lvl + rathma tp book	1			100	28	2			2	leg	rtp						Cow Portal																													rtp																																																										0
uber ancients ingredients -> uber ancients	1			100					3	ubaa,qty=1	ubab,qty=1	ubac,qty=1					uba																																																																																							0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			200					4	helm,mag,noe	jewg,qty=1	r06g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200																																																																					0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			200					4	helm,mag,eth	jewg,qty=1	r06g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	boot,mag,noe	jewg,qty=1	r08g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	boot,mag,eth	jewg,qty=1	r08g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120	ethereal	100		1	1																																																																0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	glov,mag,noe	jewg,qty=1	r09g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	glov,mag,eth	jewg,qty=1	r09g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1	ethereal	100		1	1																																																																0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	belt,mag,noe	jewg,qty=1	r07g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	belt,mag,eth	jewg,qty=1	r07g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10	ethereal	100		1	1																																																																0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	shld,mag,noe	jewg,qty=1	r05g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20																																																																					0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	shld,mag,eth	jewg,qty=1	r05g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20	ethereal	100		1	1																																																																0
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	tors,mag,noe	jewg,qty=1	r04g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40																																																																					0
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	tors,mag,eth	jewg,qty=1	r04g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40	ethereal	100		1	1																																																																0
magic amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	1			100					4	amul,mag	jewg,qty=1	r10g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	att			150	250	balance1			10	20																																																																					0
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	ring,mag	jewg,qty=1	r11g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	dmg-max			2	4	dex			5	10																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	weap,mag,noe	jewg,qty=1	r03g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	weap,mag,eth	jewg,qty=1	r03g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80	ethereal	100		1	1																																																																0
magic full helm + hitpower craft -> hitpower helm	1			200					2	helm,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200																																																																					0
magic full helm + hitpower craft -> hitpower helm	1			200					2	helm,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
magic chain boots + hitpower craft -> hitpower boots	1			100					2	boot,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120																																																																					0
magic chain boots + hitpower craft -> hitpower boots	1			100					2	boot,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120	ethereal	100		1	1																																																																0
magic chain gloves + hitpower craft -> hitpower gloves	1			100					2	glov,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1																																																																					0
magic chain gloves + hitpower craft -> hitpower gloves	1			100					2	glov,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1	ethereal	100		1	1																																																																0
magic heavy belt + hitpower craft -> hitpower belt	1			100					2	belt,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10																																																																					0
magic heavy belt + hitpower craft -> hitpower belt	1			100					2	belt,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10	ethereal	100		1	1																																																																0
magic gothic shield + hitpower craft -> hitpower shield	1			100					2	shld,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20																																																																					0
magic gothic shield + hitpower craft -> hitpower shield	1			100					2	shld,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20	ethereal	100		1	1																																																																0
magic field plate + hitpower craft -> hitpower body	1			100					2	tors,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40																																																																					0
magic field plate + hitpower craft -> hitpower body	1			100					2	tors,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40	ethereal	100		1	1																																																																0
magic amulet + hitpower craft -> hitpower amulet	1			100					2	amul,mag	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	att			150	250	balance1			10	20																																																																					0
magic ring + hitpower craft -> hitpower ring	1			100					2	ring,mag	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	dmg-max			2	4	dex			5	10																																																																					0
magic blunt + hitpower craft -> hitpower weapon	1			100					2	weap,mag,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80																																																																					0
magic blunt + hitpower craft -> hitpower weapon	1			100					2	weap,mag,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80	ethereal	100		1	1																																																																0
rare full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			200					4	helm,rar,noe	jewg,qty=1	r06g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200																																																																					0
rare full helm + jewel + rune 06 + perfect sapphire -> eth hitpower helm	1			200					4	helm,rar,eth	jewg,qty=1	r06g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
rare chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	boot,rar,noe	jewg,qty=1	r08g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120																																																																					0
rare chain boots + jewel + rune 08 + perfect sapphire -> eth hitpower boots	1			100					4	boot,rar,eth	jewg,qty=1	r08g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120	ethereal	100		1	1																																																																0
rare chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	glov,rar,noe	jewg,qty=1	r09g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1																																																																					0
rare chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	glov,rar,eth	jewg,qty=1	r09g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1	ethereal	100		1	1																																																																0
rare heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	belt,rar,noe	jewg,qty=1	r07g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10																																																																					0
rare heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	belt,rar,eth	jewg,qty=1	r07g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10	ethereal	100		1	1																																																																0
rare gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	shld,rar,noe	jewg,qty=1	r05g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20																																																																					0
rare gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	shld,rar,eth	jewg,qty=1	r05g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20	ethereal	100		1	1																																																																0
rare field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	tors,rar,noe	jewg,qty=1	r04g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40																																																																					0
rare field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	tors,rar,eth	jewg,qty=1	r04g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40	ethereal	100		1	1																																																																0
rare amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	1			100					4	amul,rar	jewg,qty=1	r10g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	att			150	250	balance1			10	20																																																																					0
rare ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	ring,rar	jewg,qty=1	r11g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	dmg-max			2	4	dex			5	10																																																																					0
rare blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	weap,rar,noe	jewg,qty=1	r03g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80																																																																					0
rare blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	weap,rar,eth	jewg,qty=1	r03g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80	ethereal	100		1	1																																																																0
rare full helm + hitpower craft ingredient -> hitpower helm	1			200					2	helm,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200																																																																					0
rare full helm + hitpower craft ingredient -> eth hitpower helm	1			200					2	helm,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
rare chain boots + hitpower craft ingredient -> hitpower boots	1			100					2	boot,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120																																																																					0
rare chain boots + hitpower craft ingredient -> eth hitpower boots	1			100					2	boot,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	ac-hth			60	120	ethereal	100		1	1																																																																0
rare chain gloves + hitpower craft ingredient -> hitpower gloves	1			100					2	glov,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1																																																																					0
rare chain gloves + hitpower craft ingredient -> hitpower gloves	1			100					2	glov,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1	ethereal	100		1	1																																																																0
rare heavy belt + hitpower craft ingredient -> hitpower belt	1			100					2	belt,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10																																																																					0
rare heavy belt + hitpower craft ingredient -> hitpower belt	1			100					2	belt,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10	ethereal	100		1	1																																																																0
rare gothic shield + hitpower craft ingredient -> hitpower shield	1			100					2	shld,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20																																																																					0
rare gothic shield + hitpower craft ingredient -> hitpower shield	1			100					2	shld,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20	ethereal	100		1	1																																																																0
rare field plate + hitpower craft ingredient -> hitpower body	1			100					2	tors,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40																																																																					0
rare field plate + hitpower craft ingredient -> hitpower body	1			100					2	tors,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	ac%			25	50	balance1			30	40	ethereal	100		1	1																																																																0
rare amulet + hitpower craft ingredient -> hitpower amulet	1			100					2	amul,rar	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	att			150	250	balance1			10	20																																																																					0
rare ring + hitpower craft ingredient -> hitpower ring	1			100					2	ring,rar	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	dmg-max			2	4	dex			5	10																																																																					0
rare blunt + hitpower craft ingredient -> hitpower weapon	1			100					2	weap,rar,noe	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80																																																																					0
rare blunt + hitpower craft ingredient -> hitpower weapon	1			100					2	weap,rar,eth	crfh,qty=1						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	dmg%			50	80	ethereal	100		1	1																																																																0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			200					4	helm,mag,noe	jewg,qty=1	r08g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	crush			10	20																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			200					4	helm,mag,eth	jewg,qty=1	r08g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	crush			10	20	ethereal	100		1	1																																																																0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	boot,mag,noe	jewg,qty=1	r05g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	regen			15	30																																																																					0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	boot,mag,eth	jewg,qty=1	r05g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	regen			15	30	ethereal	100		1	1																																																																0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	glov,mag,noe	jewg,qty=1	r04g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	crush			5	10																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	glov,mag,eth	jewg,qty=1	r04g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			2	4	hp			10	20	crush			5	10	ethereal	100		1	1																																																																0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	belt,mag,noe	jewg,qty=1	r07g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			10	20	openwounds			10	20																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	belt,mag,eth	jewg,qty=1	r07g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			10	20	openwounds			10	20	ethereal	100		1	1																																																																0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	shld,mag,noe	jewg,qty=1	r06g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			10	20	block			10	20																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	shld,mag,eth	jewg,qty=1	r06g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			10	20	block			10	20	ethereal	100		1	1																																																																0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	tors,mag,noe	jewg,qty=1	r10g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			20	40	heal-kill			3	6																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	tors,mag,eth	jewg,qty=1	r10g,qty=1	gg4r,qty=1				usetype,crf		50	50	lifesteal			3	6	hp			20	40	heal-kill			3	6	ethereal	100		1	1																																																																0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					4	amul,mag	jewg,qty=1	r11g,qty=1	gg4r,qty=1				usetype,crf		50	50	heal-kill			3	6	hp			10	20	move1			10	10																																																																					0
